"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",West North Central
Jewish,,Less than weekly,Never,Never,Never,A few times per month,Never,Once a year or less,Once a year or less,Never,Never,Once a month or less,60+,Female,"$150,000 to $174,999",Middle Atlantic
Jewish,,Never,Never,Never,Never,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Protestant,,Weekly or more,Every day,Every day,Never,Every day,A few times per week,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Once a year or less,45 - 59,Male,"$10,000 to $24,999",East North Central
Agnostic,,Never,Once a year or less,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",New England
None of these,"There is no god, gods, spirits or whatever",Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,,Not applicable to my religious beliefs,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Male,"$200,000 and up",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$25,000 to $49,999",East North Central
Roman Catholic,,Less than weekly,A few times per week,Once a year or less,A few times per month,A few times per month,A few times per month,A few times per month,A few times per month,Once a month or less,A few times per month,Never,30 - 44,Female,"$200,000 and up",East South Central
Protestant,,Weekly or more,A few times per week,Never,Once a month or less,A few times per week,Once a month or less,Every day,Once a month or less,Never,A few times per month,Never,45 - 59,Female,"$50,000 to $74,999",South Atlantic
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$125,000 to $149,999",Pacific
Jewish,,Less than weekly,Not applicable to my religious beliefs,Never,Never,Once a month or less,Never,Once a month or less,Once a year or less,Once a year or less,Never,Once a year or less,60+,Female,"$75,000 to $99,999",Middle Atlantic
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$10,000 to $24,999",South Atlantic
None of these,.,Never,Once a year or less,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$10,000 to $24,999",East North Central
Agnostic,,Never,Never,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a month or less,A few times per month,Once a month or less,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",Pacific
Roman Catholic,,Less than weekly,Once a month or less,Once a year or less,A few times per month,A few times per month,Once a month or less,Once a month or less,A few times per month,Once a month or less,Never,Never,45 - 59,Male,"$100,000 to $124,999",Pacific
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,Prefer not to answer,West South Central
None of these,I believe in having a relationship with God without religion,Never,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,45 - 59,Female,"$150,000 to $174,999",Pacific
Orthodox Christian,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Once a month or less,Never,Never,Never,18 - 29,Male,Prefer not to answer,South Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Female,"$50,000 to $74,999",Pacific
None of these,Non denominational Christian ,Weekly or more,Every day,Every day,Every day,A few times per week,A few times per week,Every day,A few times per week,Never,Every day,Once a year or less,30 - 44,Male,"$0 to $9,999",Middle Atlantic
None of these,Episcopal,Less than weekly,Every day,Once a year or less,Every day,A few times per month,Once a year or less,A few times per month,Once a year or less,Never,A few times per month,Once a month or less,18 - 29,Female,"$0 to $9,999",South Atlantic
Protestant,,Less than weekly,Once a month or less,Never,Once a month or less,A few times per week,A few times per week,Once a year or less,Never,Never,Never,Never,45 - 59,Female,"$75,000 to $99,999",East North Central
Protestant,,Never,Never,,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Male,"$200,000 and up",East North Central
None of these,Christian,Less than weekly,Never,Never,Once a year or less,A few times per month,Once a year or less,Never,Never,Never,Never,Never,18 - 29,Female,"$10,000 to $24,999",Pacific
Protestant,,Weekly or more,Never,Never,Never,A few times per month,Once a month or less,Once a month or less,Never,Never,Once a year or less,Never,45 - 59,Female,Prefer not to answer,West South Central
None of these,Christrian,Weekly or more,Every day,Never,Every day,A few times per month,A few times per month,A few times per month,A few times per week,A few times per month,A few times per month,Not applicable to my religious beliefs,18 - 29,Male,"$0 to $9,999",South Atlantic
None of these,AMERICAN INDIANA,Less than weekly,Never,Once a month or less,Never,Never,Once a year or less,Once a year or less,Once a year or less,Never,Once a month or less,A few times per month,45 - 59,Male,"$25,000 to $49,999",Pacific
None of these,Jehovah's witness,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,45 - 59,Male,"$100,000 to $124,999",East South Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$50,000 to $74,999",West South Central
Protestant,,Less than weekly,Never,Never,A few times per month,A few times per month,Once a month or less,Never,Never,Never,Never,Never,60+,Male,"$125,000 to $149,999",South Atlantic
Roman Catholic,,Less than weekly,Once a month or less,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,18 - 29,Male,"$25,000 to $49,999",South Atlantic
Jewish,,Less than weekly,Not applicable to my religious beliefs,Never,Never,Once a month or less,Never,Once a year or less,Never,Once a month or less,Once a year or less,Once a year or less,60+,Female,"$10,000 to $24,999",West South Central
None of these,christian,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Once a month or less,Once a year or less,Once a month or less,Not applicable to my religious beliefs,Every day,Never,30 - 44,Male,"$0 to $9,999",East North Central
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,Never,Never,18 - 29,Male,"$200,000 and up",South Atlantic
None of these,Christian,Weekly or more,A few times per month,Never,A few times per month,Once a month or less,A few times per week,Once a month or less,Never,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",Pacific
None of these,Non denominational ,Never,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Not applicable to my religious beliefs,Never,Every day,30 - 44,Male,"$0 to $9,999",West South Central
None of these,Spiritualist,Never,Once a year or less,Once a year or less,Once a year or less,A few times per month,Once a year or less,Never,Once a year or less,Never,Once a month or less,Once a year or less,30 - 44,Female,"$0 to $9,999",Pacific
Buddhist,,Less than weekly,Not applicable to my religious beliefs,A few times per month,Never,Once a year or less,Once a year or less,Never,Never,Once a month or less,Every day,Never,30 - 44,Male,"$75,000 to $99,999",East North Central
Roman Catholic,,Weekly or more,A few times per week,Never,Once a month or less,A few times per week,A few times per week,Never,Never,Never,Never,Never,60+,Male,"$125,000 to $149,999",New England
Roman Catholic,,Less than weekly,A few times per month,Never,Once a month or less,A few times per week,A few times per month,Once a year or less,A few times per week,Never,Once a year or less,Once a month or less,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
Agnostic,,Less than weekly,Never,Never,Once a year or less,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$200,000 and up",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,Prefer not to answer,New England
Protestant,,Weekly or more,A few times per week,Once a year or less,Once a month or less,A few times per week,A few times per week,A few times per week,A few times per month,Never,Every day,Once a year or less,45 - 59,Female,"$150,000 to $174,999",East North Central
Protestant,,Weekly or more,Never,Never,A few times per month,Every day,A few times per week,A few times per week,A few times per month,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",East South Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$50,000 to $74,999",Mountain
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Female,Prefer not to answer,Pacific
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Jewish,,Never,Not applicable to my religious beliefs,Never,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Never,60+,Female,"$75,000 to $99,999",Middle Atlantic
Roman Catholic,,Never,A few times per month,Never,Once a year or less,A few times per month,Once a year or less,Once a month or less,Never,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",New England
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$100,000 to $124,999",South Atlantic
Protestant,,Weekly or more,A few times per month,Not applicable to my religious beliefs,Every day,A few times per month,A few times per month,Once a month or less,Once a month or less,Not applicable to my religious beliefs,Never,Once a year or less,60+,Female,Prefer not to answer,West South Central
None of these,Baptist ,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,A few times per week,A few times per week,A few times per week,Once a month or less,Never,Never,Once a year or less,45 - 59,Female,"$10,000 to $24,999",West South Central
Orthodox Christian,,Less than weekly,Every day,A few times per month,Every day,A few times per week,A few times per month,Once a month or less,Once a year or less,Never,Every day,Once a year or less,30 - 44,Male,"$50,000 to $74,999",Mountain
Mormon,,Weekly or more,Every day,Never,Every day,A few times per week,A few times per month,A few times per month,A few times per month,Never,Never,Once a month or less,18 - 29,Female,"$25,000 to $49,999",East North Central
Protestant,,Weekly or more,Every day,A few times per week,A few times per week,A few times per week,A few times per week,Every day,A few times per week,Not applicable to my religious beliefs,Every day,Once a month or less,45 - 59,Female,"$50,000 to $74,999",New England
None of these,christian,Less than weekly,Once a month or less,Never,A few times per week,A few times per week,Once a month or less,Once a year or less,Never,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",West South Central
None of these,Baptist ,Weekly or more,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,45 - 59,Female,"$10,000 to $24,999",Middle Atlantic
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,Prefer not to answer,New England
Protestant,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,,Never,60+,Female,"$100,000 to $124,999",East North Central
None of these,None,Less than weekly,Once a year or less,Every day,A few times per month,Never,Once a month or less,Once a month or less,A few times per month,Once a month or less,Every day,Every day,18 - 29,Male,Prefer not to answer,South Atlantic
Roman Catholic,,Less than weekly,Once a year or less,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Never,Never,18 - 29,Female,"$10,000 to $24,999",Pacific
None of these,"Church of the Ever-loving, Mind-your-own-business (for Christ's sake)",Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,60+,Male,"$150,000 to $174,999",Middle Atlantic
None of these,Neo-pagan,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$25,000 to $49,999",South Atlantic
Protestant,,Less than weekly,Every day,Not applicable to my religious beliefs,Every day,A few times per week,Once a year or less,A few times per month,Once a year or less,Never,A few times per week,Not applicable to my religious beliefs,60+,Female,"$50,000 to $74,999",South Atlantic
Roman Catholic,,Weekly or more,A few times per week,Never,Once a month or less,A few times per month,A few times per month,A few times per month,Once a month or less,Once a month or less,Once a year or less,Once a year or less,45 - 59,Male,Prefer not to answer,East North Central
Orthodox Christian,,Weekly or more,Once a month or less,Never,Every day,Every day,A few times per month,Every day,A few times per week,Never,Never,Never,45 - 59,Female,"$10,000 to $24,999",West South Central
Roman Catholic,,Less than weekly,Never,Never,A few times per week,A few times per week,A few times per week,,A few times per week,Never,Never,Never,30 - 44,Female,"$10,000 to $24,999",West South Central
Atheist,,,,,,,,,,,,,45 - 59,Male,"$200,000 and up",Middle Atlantic
Atheist,,,,,,,,,,,,,60+,Male,"$200,000 and up",Pacific
Protestant,,Never,Never,Never,Never,,Never,Never,Never,Never,Never,Never,60+,Male,"$150,000 to $174,999",Middle Atlantic
Protestant,,Weekly or more,A few times per week,Never,Every day,Every day,Every day,A few times per week,A few times per week,Never,A few times per month,A few times per week,18 - 29,Male,"$0 to $9,999",Mountain
Agnostic,,Never,Never,,Never,,Once a month or less,,Never,,Never,Never,60+,Male,"$125,000 to $149,999",East North Central
Agnostic,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Orthodox Christian,,Less than weekly,Never,Never,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Once a year or less,Never,30 - 44,Male,"$25,000 to $49,999",New England
None of these,Black ,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$0 to $9,999",New England
Mormon,,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,A few times per month,Every day,A few times per week,Once a month or less,A few times per month,Every day,Not applicable to my religious beliefs,18 - 29,Male,"$10,000 to $24,999",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Female,"$175,000 to $199,999",Middle Atlantic
None of these,Atheist,Never,Never,Never,Never,Never,Never,Never,Never,A few times per week,Never,Never,60+,Male,"$0 to $9,999",South Atlantic
Roman Catholic,,Weekly or more,Never,Once a month or less,Once a month or less,A few times per month,Once a year or less,A few times per month,Once a year or less,Once a month or less,Every day,Never,45 - 59,Female,Prefer not to answer,New England
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Male,"$10,000 to $24,999",Mountain
Agnostic,,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Female,"$125,000 to $149,999",West South Central
Protestant,,Weekly or more,Never,Never,A few times per week,A few times per week,A few times per month,Once a month or less,Once a month or less,Never,Never,Never,18 - 29,Male,"$50,000 to $74,999",East South Central
Roman Catholic,,Never,A few times per month,Once a year or less,Never,A few times per month,Never,Once a month or less,Never,Never,Never,Never,45 - 59,Female,"$200,000 and up",West North Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$100,000 to $124,999",West South Central
None of these,None,Never,Never,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$75,000 to $99,999",South Atlantic
Atheist,,,,,,,,,,,,,60+,Female,"$100,000 to $124,999",Pacific
Hindu,,Never,A few times per week,Every day,Every day,Every day,,A few times per month,Once a year or less,Once a year or less,Once a year or less,Once a year or less,30 - 44,Male,"$10,000 to $24,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Female,Prefer not to answer,East North Central
Agnostic,,Never,Never,Never,Never,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,60+,Male,"$100,000 to $124,999",Middle Atlantic
Protestant,,Less than weekly,A few times per month,Never,Once a month or less,A few times per week,A few times per week,A few times per week,Once a year or less,Never,Once a month or less,Never,60+,Female,"$25,000 to $49,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",West South Central
Protestant,,Weekly or more,A few times per month,Once a year or less,Once a month or less,A few times per month,A few times per week,Once a month or less,Once a year or less,Once a year or less,A few times per week,Once a year or less,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
None of these,Jehovah's Witnesses,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Every day,A few times per month,A few times per week,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$100,000 to $124,999",Pacific
Buddhist,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Not applicable to my religious beliefs,Once a year or less,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Male,"$100,000 to $124,999",Mountain
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",New England
Roman Catholic,,Weekly or more,Once a month or less,Once a year or less,Once a month or less,,A few times per month,Once a year or less,A few times per week,Once a year or less,Never,A few times per month,18 - 29,Female,Prefer not to answer,South Atlantic
Roman Catholic,,Less than weekly,Not applicable to my religious beliefs,Once a year or less,Never,A few times per month,A few times per month,Never,Never,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,"$10,000 to $24,999",East North Central
Protestant,,Weekly or more,A few times per month,Not applicable to my religious beliefs,A few times per month,Once a month or less,Never,Once a month or less,Never,Never,Not applicable to my religious beliefs,Never,30 - 44,Female,"$50,000 to $74,999",West North Central
Roman Catholic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,30 - 44,Male,"$0 to $9,999",West North Central
Buddhist,,Never,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",Pacific
None of these,Spiritual ,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",West South Central
Protestant,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$75,000 to $99,999",East North Central
Orthodox Christian,,Less than weekly,Every day,Not applicable to my religious beliefs,Every day,Every day,A few times per month,A few times per week,A few times per month,Once a month or less,A few times per month,Once a year or less,18 - 29,Female,Prefer not to answer,South Atlantic
Jewish,,Weekly or more,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Once a month or less,Never,A few times per month,A few times per week,Once a year or less,60+,Male,Prefer not to answer,East North Central
Roman Catholic,,Weekly or more,A few times per week,Never,Once a month or less,A few times per month,Never,A few times per month,Never,Once a month or less,Every day,Never,60+,Male,Prefer not to answer,East North Central
Agnostic,,Less than weekly,Once a month or less,Once a year or less,Once a year or less,Once a month or less,Not applicable to my religious beliefs,Never,Once a year or less,Never,Not applicable to my religious beliefs,Never,60+,Male,"$50,000 to $74,999",Pacific
Orthodox Christian,,Less than weekly,A few times per week,Once a year or less,Every day,A few times per month,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,30 - 44,Male,"$0 to $9,999",Pacific
Protestant,,Less than weekly,Never,Never,Once a month or less,Once a month or less,Once a year or less,Once a month or less,Never,Never,Never,Never,60+,Male,"$100,000 to $124,999",East North Central
Protestant,,Weekly or more,Once a month or less,Not applicable to my religious beliefs,Once a year or less,A few times per week,Once a month or less,A few times per month,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,"$50,000 to $74,999",West South Central
None of these,Hispanic,Less than weekly,Once a month or less,A few times per week,A few times per week,A few times per week,Once a month or less,Not applicable to my religious beliefs,Every day,Every day,A few times per month,Not applicable to my religious beliefs,30 - 44,Male,"$0 to $9,999",New England
Jewish,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Never,Never,Never,Once a year or less,Once a month or less,Once a year or less,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
Roman Catholic,,Weekly or more,Every day,Never,Once a month or less,A few times per month,A few times per month,Once a year or less,Never,Once a month or less,Once a month or less,Once a year or less,30 - 44,Female,"$125,000 to $149,999",East North Central
Protestant,,Less than weekly,Once a year or less,Never,Once a year or less,Once a month or less,Never,A few times per month,Once a month or less,Never,A few times per month,Never,30 - 44,Female,"$50,000 to $74,999",East North Central
Protestant,,Weekly or more,A few times per week,Never,A few times per week,A few times per month,A few times per month,A few times per month,Once a month or less,Never,Never,Once a year or less,60+,Male,Prefer not to answer,East North Central
Protestant,,Less than weekly,A few times per month,Never,Once a year or less,A few times per week,Never,A few times per month,Never,Never,Never,Once a month or less,60+,Female,Prefer not to answer,East South Central
None of these,Christian non denomination,Weekly or more,Every day,Every day,Every day,A few times per week,A few times per week,Once a month or less,Once a year or less,A few times per month,Never,Once a year or less,30 - 44,Male,"$10,000 to $24,999",East North Central
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Never,Once a year or less,Once a month or less,Never,Never,Never,45 - 59,Female,"$50,000 to $74,999",New England
Hindu,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,60+,Female,"$25,000 to $49,999",Pacific
Protestant,,Never,A few times per month,Never,A few times per month,A few times per week,A few times per month,Never,Never,Never,Never,Never,60+,Female,Prefer not to answer,West South Central
None of these,raised christian - have explored a number of religions - currently unaffliated,Never,Never,Never,Once a month or less,Once a month or less,Never,Once a month or less,Once a month or less,Never,Never,Never,60+,Male,Prefer not to answer,Pacific
Orthodox Christian,,Less than weekly,Never,Never,A few times per month,A few times per week,Once a month or less,Once a year or less,Never,Never,Never,Never,60+,Male,"$125,000 to $149,999",Mountain
Roman Catholic,,Weekly or more,Every day,Never,A few times per month,A few times per week,Never,Never,Never,Once a month or less,Every day,Never,60+,Male,"$100,000 to $124,999",Middle Atlantic
None of these,Bapist,Never,Every day,Never,A few times per month,A few times per week,A few times per month,Never,Once a month or less,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Roman Catholic,,Less than weekly,Never,Never,Once a year or less,A few times per month,Once a year or less,Never,Never,Never,A few times per week,Never,18 - 29,Female,Prefer not to answer,New England
None of these,Pentecostal,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Once a year or less,Once a month or less,A few times per month,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,New England
Roman Catholic,,Less than weekly,A few times per month,A few times per month,Once a month or less,A few times per week,A few times per week,Never,Never,Once a month or less,Never,Never,60+,Female,"$25,000 to $49,999",East South Central
Mormon,,Less than weekly,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,Never,60+,Male,"$50,000 to $74,999",South Atlantic
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$200,000 and up",Middle Atlantic
Roman Catholic,,Never,Once a year or less,Never,Never,Once a year or less,Never,Once a year or less,Once a year or less,Never,Never,Never,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
Protestant,,Weekly or more,Never,Never,Never,Once a month or less,A few times per month,Once a year or less,Once a year or less,Never,Never,Once a year or less,45 - 59,Male,Prefer not to answer,Middle Atlantic
Roman Catholic,,Less than weekly,Once a year or less,Never,Once a month or less,Once a month or less,Once a month or less,Once a month or less,Never,Never,Once a month or less,Never,60+,Female,"$25,000 to $49,999",Middle Atlantic
None of these,No religion,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$0 to $9,999",Pacific
Protestant,,Less than weekly,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Every day,Once a year or less,Once a year or less,Once a year or less,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,45 - 59,Female,"$10,000 to $24,999",South Atlantic
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,18 - 29,Female,"$25,000 to $49,999",Mountain
Protestant,,Never,Once a year or less,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Never,Never,Never,45 - 59,Female,"$150,000 to $174,999",East North Central
Muslim,,Less than weekly,Never,Never,Not applicable to my religious beliefs,Once a year or less,Once a month or less,Once a year or less,Once a year or less,Once a year or less,Every day,Never,18 - 29,Female,"$0 to $9,999",South Atlantic
Roman Catholic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,A few times per month,Never,Never,Never,Never,Every day,Never,18 - 29,Female,"$0 to $9,999",Middle Atlantic
None of these,spiritual,Never,Once a month or less,Never,Once a year or less,Once a year or less,Once a year or less,Never,Once a year or less,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",Pacific
Atheist,,,,,,,,,,,,,60+,Female,"$50,000 to $74,999",East North Central
Roman Catholic,,Less than weekly,A few times per month,A few times per month,Not applicable to my religious beliefs,A few times per week,Once a month or less,Once a month or less,Once a month or less,A few times per week,Every day,Once a year or less,18 - 29,Male,"$0 to $9,999",New England
None of these,None,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",South Atlantic
None of these,Christian,Less than weekly,Every day,Never,Every day,Every day,Every day,Never,Never,Never,Never,Not applicable to my religious beliefs,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
Protestant,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Once a month or less,Never,Never,Never,Never,Never,Never,60+,Female,"$100,000 to $124,999",East North Central
Protestant,,Less than weekly,Once a year or less,Never,Never,Once a month or less,Once a year or less,Once a month or less,Once a year or less,Once a year or less,Once a month or less,Once a year or less,45 - 59,Female,"$25,000 to $49,999",Mountain
Atheist,,,,,,,,,,,,,18 - 29,Female,"$50,000 to $74,999",West North Central
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Male,"$125,000 to $149,999",New England
Protestant,,Less than weekly,A few times per week,Never,A few times per week,A few times per month,A few times per week,A few times per week,A few times per month,Never,A few times per month,Never,30 - 44,Female,"$50,000 to $74,999",West South Central
Roman Catholic,,Less than weekly,Once a year or less,Never,A few times per month,,Once a month or less,,Never,Once a year or less,Never,Never,60+,Male,Prefer not to answer,East North Central
None of these,Non denominational Christian ,Less than weekly,Never,Never,A few times per month,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,30 - 44,Male,"$75,000 to $99,999",Pacific
Agnostic,,Never,Never,Never,Never,Never,Never,Never,,Never,Never,Never,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
Protestant,,Weekly or more,Once a month or less,Not applicable to my religious beliefs,Never,A few times per month,Once a month or less,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$50,000 to $74,999",East South Central
